BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;108;445.80;1.020;1.017;107;105.2;4999.7;554.4;38;8;8550;102.447;21.773;168.118;6.68;9;9;9
BENCH;109;446.82;1.020;1.025;115;112.2;4999.7;554.4;18;8;4050;48.503;22.042;117.012;7.22;9;9;9
BENCH;110;447.84;1.020;1.025;118;115.1;4999.7;554.4;10;0;2250;30.340;0.000;94.016;7.40;8;8;9
BENCH;111;448.86;1.020;1.016;119;117.1;4999.7;554.4;8;8;1800;21.760;21.760;87.732;9.00;9;9;9
BENCH;112;449.88;1.020;1.024;114;111.3;4999.7;554.4;24;8;5400;63.848;21.921;133.580;8.00;9;9;9
BENCH;113;450.90;1.020;1.026;117;114.0;4999.7;554.4;18;8;4050;48.527;22.036;116.566;7.67;9;9;9
BENCH;114;451.92;1.020;1.017;120;118.0;4999.7;554.4;8;0;1800;20.928;0.000;85.632;8.00;8;9;9
BENCH;115;452.94;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;42.669;21.771;110.785;8.50;9;9;9
BENCH;116;453.96;1.020;1.016;120;118.1;4999.7;554.4;8;8;1800;22.005;22.005;87.921;9.00;9;9;9
BENCH;117;454.98;1.020;1.026;117;114.1;4999.7;554.4;16;8;3600;43.317;22.130;113.180;8.50;9;9;9
BENCH;118;456.00;1.020;1.015;122;120.1;4999.7;554.4;2;0;450;5.445;0.000;65.809;5.00;5;9;9
BENCH;119;457.02;1.020;1.018;113;111.0;4999.7;554.4;24;8;5400;63.971;21.825;130.059;8.00;9;9;9
BENCH;120;458.04;1.020;1.026;120;116.9;4999.7;554.4;8;8;1800;22.628;22.628;94.193;9.00;9;9;9
BENCH;121;459.06;1.020;1.016;116;114.1;4999.7;554.4;16;8;3600;43.201;22.014;110.796;8.50;9;9;9
BENCH;122;460.08;1.020;1.022;113;110.5;4999.7;554.4;26;8;5850;70.890;22.377;132.510;6.85;9;9;9
BENCH;123;461.10;1.020;1.018;116;113.9;4999.7;554.4;18;0;4050;47.595;0.000;118.036;6.78;7;9;9
BENCH;124;462.12;1.020;1.019;113;110.9;4999.7;554.4;24;8;5400;65.117;21.956;133.364;7.67;9;9;9
BENCH;125;463.14;1.020;1.024;120;117.2;4999.7;554.4;8;8;1800;21.768;21.768;91.735;9.00;9;9;9
BENCH;126;464.16;1.020;1.016;116;114.2;4999.7;554.4;16;8;3600;43.067;21.712;110.357;8.50;9;9;9
BENCH;127;465.18;1.020;1.025;119;116.1;4999.7;554.4;12;0;2700;32.218;0.000;94.812;6.50;8;9;9
BENCH;128;466.20;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;22.325;22.325;90.830;9.00;9;9;9
BENCH;129;467.22;1.020;1.021;116;113.6;4999.7;554.4;16;8;3600;43.337;21.768;111.339;6.50;9;9;9
BENCH;130;468.24;1.020;1.020;114;111.7;4999.7;554.4;26;0;5850;68.906;0.000;134.991;6.62;8;8;9
BENCH;131;469.26;1.020;1.016;116;114.1;4999.7;554.4;16;8;3600;42.702;21.805;111.503;8.50;9;9;9
BENCH;132;470.28;1.020;1.025;116;113.1;4999.7;554.4;18;8;4050;48.846;22.055;116.271;7.22;9;9;9
BENCH;133;471.30;1.020;1.016;113;111.2;4999.7;554.4;24;8;5400;64.237;21.968;135.154;7.33;9;9;9
BENCH;134;472.32;1.020;1.021;114;111.7;4999.7;554.4;24;8;5400;64.480;21.777;130.485;7.67;9;8;9
BENCH;135;473.34;1.020;1.018;120;117.8;4999.7;554.4;10;0;2250;27.056;0.000;93.806;7.40;8;9;9
BENCH;136;474.36;1.020;1.021;117;114.6;4999.7;554.4;16;8;3600;43.305;22.281;115.604;8.50;9;9;9
BENCH;137;475.38;1.020;1.023;121;118.3;4999.7;554.4;10;8;2250;27.363;21.897;94.128;8.20;9;9;9
